Soil texture,Rainfall,SPI,TWI,Distance to river,Aspect,NDVI,Land cover,Profile curvature,Plan curvature,Slope,Altitude,Lithology,Longitude,Latitude
7,325,19435,4,646,39,18,4,0,0,28,1766,8,52.89254053250,28.69683371350
9,266,318,4,1110,259,8,5,0,0,5,1248,9,53.86137032350,28.54107568080
9,294,496,5,725,298,10,5,0,0,3,1160,1,53.61677301750,28.73163242860
7,291,74,5,1366,135,17,3,0,0,3,1034,1,53.59472256070,28.65873273350
9,281,826,4,730,230,9,5,0,0,7,1058,1,53.69017250210,28.60467309220
7,317,216,5,1494,123,9,5,0,0,1,1207,1,53.41336635330,28.79387320530
7,292,2169,3,1564,247,11,5,1,0,20,1410,3,53.64707671280,28.74923965040
7,259,868,4,210,4,9,5,0,0,8,1406,12,53.97828114100,28.50691391080
7,270,1556,3,1669,157,14,5,0,0,17,1799,5,53.69930013100,28.38165976160
7,279,545,4,1260,298,12,4,0,-1,13,1582,10,53.55581668840,28.41198390030
7,328,1215,3,30,87,13,5,0,0,15,1439,8,52.83986762230,28.73318139670
7,305,4443,3,1046,297,14,4,0,0,26,1123,3,53.29168918480,28.59479251710
7,332,1565,2,218,9,15,4,0,0,30,1480,2,52.83495349910,28.78184788820
7,275,327,2,1410,226,8,4,-1,1,30,1866,10,53.61062430530,28.38665202020
7,338,1721,2,67,203,7,5,-1,0,33,1292,9,52.98399554540,28.82277924890
7,257,3708,3,234,11,8,4,0,1,15,1664,12,54.00594268960,28.48300672320
7,287,198,4,2184,99,29,3,0,0,5,1051,1,53.52065707080,28.51798835430
9,319,376,3,840,36,7,2,0,0,13,1010,2,53.17027599100,28.68691905430
7,303,1932,3,496,89,9,5,1,0,25,1388,3,53.47410820200,28.69587702770
7,302,1132,4,787,7,6,5,0,0,13,1021,10,53.17430740210,28.50766510330
9,288,15,7,494,90,11,5,0,0,0,1150,12,53.41573601900,28.44510206590
9,286,685,3,690,289,6,2,0,0,14,1040,1,53.61963655000,28.60823693320
7,300,83,6,174,45,17,5,0,0,2,964,1,53.40463356600,28.60882994690
9,297,190,4,1041,64,13,5,0,0,6,1159,9,53.58041529770,28.74139562390
9,283,858,4,524,210,7,2,0,0,9,1145,9,53.69548442810,28.65828256420
