Soil texture,Rainfall,SPI,TWI,Distance to river,Aspect,NDVI,Land cover,Profile curvature,Plan curvature,Slope,Altitude,Lithology
7,314,101,4,1440,182,11,5,-1,1,9,2298,5
7,314,1145,3,1494,77,9,5,0,0,17,2281,5
7,314,815,2,1368,210,10,5,0,0,10,2283,5
7,314,750,3,1425,135,10,5,0,0,12,2271,5
7,314,1221,3,1485,103,10,5,1,-1,22,2244,5
7,314,1650,3,1200,256,9,4,0,0,17,2224,5
7,314,394,3,1275,218,9,5,0,0,18,2252,5
6,314,331,3,1336,149,8,5,0,0,12,2259,5
6,314,1438,3,1400,106,10,5,0,0,21,2235,5
7,314,1397,4,1484,177,12,5,0,0,12,2219,5
7,314,3408,3,1074,258,8,5,0,1,11,2199,5
6,314,475,3,1129,186,9,5,0,0,18,2203,5
6,314,2024,3,1209,221,7,5,0,-1,31,2210,5
6,314,268,3,1272,201,8,5,0,0,9,2243,5
6,314,420,4,1336,45,7,5,0,0,13,2239,5
7,314,3321,4,1422,81,13,4,0,0,10,2202,5
7,314,483,4,1490,129,11,5,0,0,6,2190,5
7,314,1315,3,948,217,8,5,0,0,16,2169,5
7,314,919,3,1002,167,8,5,0,0,19,2177,5
6,314,2904,3,1061,181,8,5,0,0,22,2166,5
6,314,4743,3,1145,239,8,5,0,0,25,2186,5
6,314,1896,3,1209,211,8,5,0,0,25,2212,5
6,314,895,3,1273,211,7,5,0,0,14,2235,5
7,314,266,3,1363,72,10,5,0,0,12,2220,5
7,314,157,3,1434,26,11,5,-1,0,7,2209,5
7,314,470,3,1506,29,10,4,0,0,4,2194,5
7,314,1181,3,852,192,8,5,0,0,18,2128,5
7,314,2960,3,912,167,9,5,0,0,24,2122,5
7,314,10268,4,975,203,10,4,0,0,22,2119,5
7,314,2051,3,1060,197,8,5,0,0,20,2147,5
7,314,1894,3,1126,231,8,5,0,0,22,2176,5
7,314,1602,3,1194,211,8,5,0,0,26,2202,5
6,314,251,3,1290,112,10,5,0,0,13,2207,5
6,314,1715,4,1363,137,11,5,0,0,7,2188,5
7,313,1372,4,1434,136,13,5,0,0,17,2175,5
7,313,1638,4,1531,106,11,5,0,0,5,2157,5
6,314,2087,3,708,224,8,5,0,0,19,2069,5
7,314,1659,3,785,186,10,5,0,1,23,2107,5
7,314,4324,3,848,151,10,5,0,0,22,2088,5
7,314,16743,4,912,219,8,4,0,0,28,2088,5
7,314,4374,3,999,208,9,5,0,0,24,2108,5
7,314,2445,3,1068,219,8,5,0,0,23,2145,5
7,314,1932,3,1140,213,8,5,0,0,23,2165,5
6,314,428,2,1236,180,9,5,0,0,17,2192,5
6,314,320,4,1308,145,12,5,0,0,7,2186,5
